"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate","Quartal","AnzahlInNachfolgendenPatchen","AnzahlInVorherigenPatchen"
"Aatrox","Sea Hunter","22-Jul-2015",16638,0.0025,0.0019,0.0202,0.0161,0.5168,0.5132,6e-04,0.0041,0.00360000000000005,3,0,1
"Aatrox","Blood Moon","10-Jan-2019",17906,0.323,0.3641,0.1214,0.1304,0.4878,0.4874,-0.0411,-0.00899999999999999,0.000400000000000011,17,0,2
"Aatrox","Victorious","21-Nov-2019",18221,0.0731,0.0934,0.1057,0.0676,0.4645,0.4723,-0.0203,0.0381,-0.00779999999999997,20,0,0
"Ahri","Academy","26-Aug-2015",16673,0.0264,0.0368,0.1684,0.1637,0.5382,0.5447,-0.0104,0.00469999999999998,-0.00649999999999995,3,1,2
"Ahri","Arcade","24-Aug-2016",17037,0.0138,0.0083,0.1416,0.1192,0.53,0.5279,0.0055,0.0224,0.00209999999999999,7,2,2
"Ahri","Star Guardian","06-Sep-2017",17415,0.0528,0.0655,0.1193,0.1219,0.5063,0.5202,-0.0127,-0.00259999999999999,-0.0139,11,0,1
"Ahri","KDA","03-Nov-2018",17838,0.0545,0.0654,0.1051,0.1303,0.5332,0.5297,-0.0109,-0.0252,0.00350000000000006,16,1,1
"Ahri","Elderwood","29-Aug-2019",18137,0.0562,0.0576,0.1017,0.094,0.523,0.5253,-0.0014,0.0077,-0.00229999999999997,19,0,1
"Ahri","Challenger","15-Jan-2015",16450,0.2228,0.0207,0.2321,0.1222,0.5571,0.5125,0.2021,0.1099,0.0446000000000001,1,NA,NA
"Ahri","Prestige KDA","07-Mar-2019",17962,0.0483,0.0401,0.1107,0.0929,0.5222,0.5236,0.00820000000000001,0.0178,-0.00139999999999996,17,0,0
"Akali","Headhunter","23-Mar-2015",16517,0.0044,0.0302,0.0161,0.0172,0.4983,0.4741,-0.0258,-0.0011,0.0242,1,0,1
"Akali","Sashimi","07-Sep-2016",17051,0.0104,0.0127,0.0353,0.0384,0.5171,0.5187,-0.0023,-0.0031,-0.00160000000000005,7,0,0
"Akali","KDA","03-Nov-2018",17838,0.7039,0.6381,0.0893,0.0764,0.4639,0.4759,0.0658,0.0129,-0.012,16,0,1
"Akali","PROJECT","01-Aug-2019",18109,0.264,0.1152,0.1652,0.0768,0.4802,0.4422,0.1488,0.0884,0.038,19,1,1
"Akali","True Damage","10-Nov-2019",18210,0.2867,0.2061,0.1594,0.1097,0.4675,0.4548,0.0806,0.0497,0.0127,20,0,1
"Akali","Prestige KDA","06-Dec-2018",17871,0.5159,0.7161,0.0851,0.0858,0.4518,0.4761,-0.2002,-0.000700000000000006,-0.0243,16,2,3
"Alistar","Marauder","30-Sep-2015",16708,0.005,0.0174,0.1512,0.1576,0.4908,0.4881,-0.0124,-0.00639999999999999,0.00270000000000004,3,0,1
"Alistar","Moo Cow","29-Mar-2017",17254,0.0028,0.0026,0.0543,0.0482,0.5107,0.4928,2e-04,0.0061,0.0179,9,1,1
"Alistar","Blackfrost","05-Mar-2020",18326,0.0049,0.0033,0.0413,0.0315,0.4995,0.4831,0.0016,0.0098,0.0164,21,1,1
"Alistar","SKT T1","17-Aug-2016",17030,0.0258,0.0325,0.1045,0.1014,0.489,0.4823,-0.0067,0.00309999999999999,0.00669999999999998,7,0,0
"Alistar","Conqueror","30-Apr-2019",18016,0.0249,0.0428,0.0449,0.0636,0.4701,0.466,-0.0179,-0.0187,0.00409999999999999,18,0,1
"Alistar","Hextech","26-Mar-2018",17616,0.1224,0.1759,0.1139,0.1436,0.4956,0.5061,-0.0535,-0.0297,-0.0105,13,1,2
"Amumu","Surprise Party","31-Mar-2015",16525,0.0227,0.0029,0.1196,0.0696,0.5233,0.4929,0.0198,0.05,0.0304,1,1,1
"Amumu","Infernal","16-Oct-2018",17820,0.004,0.0044,0.027,0.0236,0.5087,0.5103,-4e-04,0.0034,-0.00159999999999993,16,0,0
"Amumu","Hextech","26-Sep-2019",18165,0.0066,0.0088,0.0323,0.035,0.5041,0.5106,-0.0022,-0.0027,-0.00650000000000006,19,0,0
"Anivia","Prehistoric","14-Jun-2015",16600,0.0031,0.0015,0.0372,0.0248,0.5128,0.5312,0.0016,0.0124,-0.0184,2,0,0
"Anivia","Festival Queen","23-Feb-2017",17220,0.005,0.0017,0.0521,0.0291,0.5625,0.5698,0.0033,0.023,-0.00729999999999997,9,1,3
"Anivia","Papercraft","21-Feb-2019",17948,0.0205,0.0183,0.0357,0.0299,0.5162,0.516,0.0022,0.0058,0.000199999999999978,17,1,1
"Annie","Super Galaxy","16-Oct-2017",17455,0.0111,0.0148,0.0364,0.0411,0.5162,0.5162,-0.0037,-0.0047,0,12,0,0
"Annie","Sweetheart","13-Feb-2015",16479,0.0549,0.0078,0.1718,0.0979,0.5239,0.5326,0.0471,0.0739,-0.00869999999999993,1,NA,NA
"Annie","Hextech","15-Mar-2016",16875,0.0066,0.0011,0.0593,0.055,0.5144,0.5235,0.0055,0.0043,-0.0091,5,0,0
"Annie","Annie-Versary","27-Oct-2019",18196,0.0073,0.0078,0.0299,0.0272,0.4996,0.4936,-5e-04,0.0027,0.00600000000000001,20,0,2
"Ashe","Marauder","17-Feb-2015",16483,7e-04,0.001,0.0323,0.0497,0.5272,0.5236,-3e-04,-0.0174,0.00360000000000005,1,NA,NA
"Ashe","PROJECT","01-Aug-2016",17014,0.0346,0.008,0.2353,0.1572,0.5319,0.539,0.0266,0.0781,-0.0071,7,0,0
"Ashe","Cosmic Queen","21-Aug-2018",17764,0.002,0.0017,0.0532,0.0346,0.4921,0.4845,3e-04,0.0186,0.0076,15,0,0
"Ashe","High Noon","10-Oct-2019",18179,0.0564,0.0063,0.1963,0.0737,0.5394,0.5109,0.0501,0.1226,0.0285,20,2,2
"Ashe","Championship","12-Sep-2017",17421,0.0031,0.0028,0.0916,0.0881,0.4845,0.4904,3e-04,0.0035,-0.00590000000000002,11,0,1
"AurelionSol","Mecha","16-Aug-2018",17759,0.0089,0.008,0.021,0.0196,0.5444,0.5394,9e-04,0.0014,0.005,15,0,0
"Azir","Gravelord","01-Dec-2015",16770,0.0053,0.0102,0.0597,0.0529,0.4593,0.4418,-0.0049,0.0068,0.0175,4,2,3
"Azir","SKT T1","17-Aug-2016",17030,0.0175,0.1968,0.0283,0.1087,0.4338,0.45,-0.1793,-0.0804,-0.0162,7,1,2
"Azir","Warring Kingdoms","19-Jan-2017",17185,0.002,0.0026,0.0244,0.0231,0.4691,0.4836,-6e-04,0.0013,-0.0145,9,1,1
"Bard","Snow Day","10-Dec-2015",16779,0.0057,0.0019,0.1306,0.0546,0.4795,0.5079,0.0038,0.076,-0.0284,4,1,1
"Bard","Bard Bard","17-Nov-2016",17122,0.0031,0.0072,0.0956,0.1143,0.4892,0.5047,-0.0041,-0.0187,-0.0155,8,0,0
"Blitzcrank","Battle Boss","19-Aug-2015",16666,0.0113,0.0094,0.2135,0.1553,0.5269,0.5336,0.0019,0.0582,-0.00669999999999993,3,0,0
"Blitzcrank","Lancer Rogue","16-Nov-2017",17486,0.1884,0.189,0.1187,0.0883,0.5169,0.4913,-0.000599999999999989,0.0304,0.0256,12,1,1
"Blitzcrank","Witch's Brew","24-Oct-2019",18193,0.3116,0.1517,0.1156,0.0982,0.522,0.5122,0.1599,0.0174,0.00980000000000003,20,1,2
"Brand","Spirit Fire","21-Oct-2015",16729,0.0034,0.0011,0.0727,0.044,0.5388,0.5316,0.0023,0.0287,0.00719999999999998,4,1,1
"Brand","Battle Boss","08-Aug-2017",17386,0.0228,0.0247,0.065,0.0758,0.4925,0.5134,-0.0019,-0.0108,-0.0209,11,1,1
"Brand","Arclight","07-Mar-2019",17962,0.0788,0.138,0.0535,0.0753,0.4906,0.5035,-0.0592,-0.0218,-0.0129,17,1,2
"Braum","El Tigre","21-Jan-2015",16456,0.0155,0.0408,0.0917,0.0838,0.4912,0.4918,-0.0253,0.0079,-0.000599999999999989,1,NA,NA
"Braum","Braum Lionheart","07-Dec-2015",16776,0.0042,0.0055,0.093,0.1353,0.504,0.5039,-0.0013,-0.0423,9.9999999999989e-05,4,0,0
"Braum","Mafia","23-Aug-2018",17766,0.0493,0.0295,0.0929,0.0596,0.4955,0.4854,0.0198,0.0333,0.0101,15,0,0
"Braum","Sugar Rush","17-Dec-2019",18247,0.0082,0.01,0.047,0.0296,0.4911,0.4564,-0.0018,0.0174,0.0347,20,1,1
"Braum","Santa","14-Dec-2016",17149,0.0061,0.0189,0.0809,0.0963,0.492,0.495,-0.0128,-0.0154,-0.003,8,0,1
"Caitlyn","Pulsefire","24-May-2017",17310,0.2489,0.0292,0.3777,0.2692,0.5164,0.508,0.2197,0.1085,0.00839999999999996,10,1,1
"Caitlyn","Pool Party","02-Aug-2018",17745,0.0152,0.0092,0.1017,0.0403,0.4753,0.4453,0.006,0.0614,0.03,15,0,2
"Caitlyn","Arcade","28-Jun-2019",18075,0.0635,0.0435,0.1831,0.1243,0.4994,0.4886,0.02,0.0588,0.0108,18,1,2
"Caitlyn","Lunar Wraith","27-Jan-2016",16827,5e-04,0.0019,0.111,0.1135,0.4825,0.47,-0.0014,-0.0025,0.0125,5,2,4
"Camille","Coven","27-Nov-2018",17862,0.2378,0.2319,0.1559,0.1555,0.4949,0.5029,0.00590000000000002,0.000400000000000011,-0.00800000000000001,16,0,0
"Camille","iG","23-Apr-2019",18009,0.0127,0.0246,0.0385,0.0436,0.4935,0.4925,-0.0119,-0.0051,0.001,18,1,1
"Cassiopeia","Eternum","20-Sep-2017",17429,0.017,0.0171,0.0387,0.0437,0.4718,0.4948,-9.99999999999994e-05,-0.005,-0.023,11,2,4
"Chogath","Prehistoric","14-Jun-2015",16600,0.1769,0.1921,0.0893,0.1287,0.5033,0.5018,-0.0152,-0.0394,0.00149999999999995,2,0,0
"Chogath","Dark Star","13-Jul-2018",17725,0.0129,0.0248,0.0373,0.0451,0.4849,0.4921,-0.0119,-0.0078,-0.00719999999999998,15,0,1
"Corki","Arcade","24-Aug-2016",17037,0.0016,0.0014,0.0223,0.0169,0.5011,0.5008,2e-04,0.0054,0.000299999999999967,7,1,2
"Corki","Corgi","27-Mar-2019",17982,0.006,0.004,0.0565,0.0405,0.5011,0.506,0.002,0.016,-0.00490000000000002,17,0,0
"Darius","Academy","26-Aug-2015",16673,0.6574,0.0027,0.0934,0.0319,0.5379,0.4958,0.6547,0.0615,0.0421,3,1,2
"Darius","God-King","27-Jun-2018",17709,0.3976,0.3196,0.1765,0.1138,0.4921,0.5117,0.078,0.0627,-0.0196000000000001,14,0,0
"Darius","High Noon","10-Oct-2019",18179,0.2813,0.2981,0.1042,0.0977,0.5018,0.5091,-0.0168,0.00650000000000001,-0.00729999999999997,20,0,0
"Darius","Dreadnova","12-Apr-2017",17268,0.1783,0.1485,0.1087,0.0849,0.5149,0.5288,0.0298,0.0238,-0.0139,10,1,1
"Diana","Infernal","20-Apr-2016",16911,0.0135,0.0168,0.0562,0.0542,0.4912,0.5009,-0.0033,0.002,-0.00969999999999999,6,0,0
"Diana","Blood Moon","09-Feb-2017",17206,0.0037,0.0029,0.0364,0.0299,0.5057,0.5057,8e-04,0.0065,0,9,0,0
"Diana","Dark Waters","31-May-2018",17682,0.0148,0.0133,0.0384,0.033,0.4825,0.4909,0.0015,0.0054,-0.00840000000000002,14,1,2
"Diana","Dragonslayer","30-Jan-2020",18291,0.2277,0.2641,0.1064,0.1532,0.5151,0.5167,-0.0364,-0.0468,-0.00160000000000005,21,0,1
"Draven","Pool Party","25-Jun-2015",16611,0.0034,0.0027,0.0829,0.0669,0.5128,0.5169,7e-04,0.016,-0.00409999999999999,2,0,0
"Draven","Beast Hunter","04-Feb-2016",16835,0.0443,0.002,0.0411,0.0609,0.5161,0.5012,0.0423,-0.0198,0.0149,5,0,0
"Draven","Mecha Kingdoms","15-Jan-2020",18276,0.0656,0.1015,0.0606,0.0577,0.4924,0.4896,-0.0359,0.0029,0.00280000000000002,21,1,1
"Draven","Draven Draven","31-Mar-2016",16891,0.0018,0.0319,0.0639,0.0412,0.4986,0.5147,-0.0301,0.0227,-0.0161000000000001,5,0,0
"Draven","Santa","12-Dec-2017",17512,0.0927,0.1491,0.0795,0.0788,0.4921,0.5065,-0.0564,0.000700000000000006,-0.0144,12,0,2
"DrMundo","Pool Party Mundo","25-Jun-2015",16611,8e-04,0.0013,0.0201,0.0321,0.4794,0.4717,-5e-04,-0.012,0.00769999999999998,2,0,0
"DrMundo","El Macho Mundo","01-Jun-2016",16953,0.0013,0.006,0.0208,0.0276,0.4879,0.5018,-0.0047,-0.0068,-0.0139,6,0,0
"DrMundo","Frozen Prince Mundo","06-Dec-2018",17871,0.0069,0.0056,0.0208,0.0206,0.4642,0.4797,0.0013,0.000199999999999999,-0.0155,16,1,1
"Ekko","Academy","26-Aug-2015",16673,0.0777,0.2653,0.159,0.0926,0.49,0.4767,-0.1876,0.0664,0.0133,3,1,3
"Ekko","PROJECT","01-Aug-2016",17014,0.1224,0.1556,0.1887,0.1035,0.4917,0.495,-0.0332,0.0852,-0.00329999999999997,7,0,0
"Ekko","True Damage","10-Nov-2019",18210,0.2673,0.1445,0.1681,0.1634,0.522,0.5183,0.1228,0.00470000000000001,0.00370000000000004,20,0,0
"Ekko","SKT T1","27-Jun-2017",17344,0.0269,0.0284,0.0811,0.1006,0.4946,0.4908,-0.0015,-0.0195,0.00379999999999997,10,1,1
"Ekko","Trick or Treat","24-Oct-2018",17828,0.0192,0.0147,0.0865,0.0729,0.5003,0.5015,0.0045,0.0136,-0.00119999999999998,16,0,0
"Elise","Blood Moon","08-Jan-2015",16443,0.0012,0.0019,0.037,0.0359,0.436,0.4481,-7e-04,0.0011,-0.0121,1,NA,NA
"Elise","Super Galaxy","16-Oct-2017",17455,0.0607,0.0859,0.0683,0.0653,0.4986,0.4931,-0.0252,0.003,0.0055,12,0,1
"Elise","SKT T1","17-Aug-2016",17030,0.0198,0.0118,0.1021,0.0928,0.5065,0.505,0.008,0.0093,0.00149999999999995,7,0,0
"Evelynn","Blood Moon","08-May-2018",17659,0.1407,0.1994,0.053,0.054,0.5025,0.5204,-0.0587,-0.001,-0.0179,14,0,0
"Evelynn","KDA","03-Nov-2018",17838,0.1617,0.2903,0.0522,0.0589,0.4985,0.5147,-0.1286,-0.0067,-0.0162,16,1,1
"Evelynn","Sugar Rush","17-Dec-2019",18247,0.0879,0.1393,0.0396,0.0423,0.4903,0.495,-0.0514,-0.00269999999999999,-0.00469999999999998,20,1,1
"Evelynn","Prestige KDA","18-Apr-2019",18004,0.1244,0.1229,0.0514,0.0491,0.5024,0.5076,0.0015,0.0023,-0.00520000000000009,18,0,0
"Ezreal","Ace of Spades","20-May-2015",16575,0.0016,0.0027,0.2027,0.2112,0.4731,0.4682,-0.0011,-0.00850000000000001,0.00490000000000002,2,0,0
"Ezreal","Arcade","24-Aug-2016",17037,0.0097,0.006,0.3072,0.266,0.4892,0.4802,0.0037,0.0412,0.00900000000000001,7,1,1
"Ezreal","Star Guardian","06-Sep-2017",17415,0.1153,0.0043,0.2008,0.0822,0.4812,0.4513,0.111,0.1186,0.0299,11,1,2
"Ezreal","Pajama Guardian","21-Nov-2018",17856,0.0379,0.0621,0.2732,0.271,0.4848,0.4526,-0.0242,0.00219999999999998,0.0322,16,1,3
"Ezreal","Battle Academia","15-May-2019",18031,0.1219,0.0509,0.3488,0.2162,0.4749,0.4697,0.071,0.1326,0.00519999999999998,18,0,0
"Ezreal","SSG","20-Jul-2018",17732,0.0324,0.0824,0.2374,0.2722,0.4649,0.4738,-0.05,-0.0348,-0.00890000000000002,15,1,3
"Fiddlesticks","Risen","29-Apr-2015",16554,0.0984,0.1958,0.0529,0.0631,0.5179,0.5226,-0.0974,-0.0102,-0.00469999999999993,2,0,0
"Fiddlesticks","Praetorian","08-Nov-2018",17843,0.0553,0.0567,0.061,0.0458,0.5071,0.5049,-0.0014,0.0152,0.00219999999999998,16,0,0
"Fiora","PROJECT","07-Sep-2015",16685,0.7281,0.0197,0.105,0.0471,0.5261,0.5094,0.7084,0.0579,0.0167,3,0,1
"Fiora","Pool Party","13-Jul-2016",16995,0.0384,0.0111,0.0835,0.0494,0.498,0.4788,0.0273,0.0341,0.0192,7,2,2
"Fiora","Soaring Sword","27-Sep-2017",17436,0.2534,0.2097,0.0922,0.0624,0.5002,0.4785,0.0437,0.0298,0.0217,11,1,2
"Fiora","Heartpiercer","11-Feb-2019",17938,0.0747,0.0856,0.064,0.0801,0.4742,0.4939,-0.0109,-0.0161,-0.0197,17,1,1
"Fiora","iG","23-Apr-2019",18009,0.0664,0.0596,0.0631,0.051,0.4953,0.4746,0.0068,0.0121,0.0207,18,2,2
"Fizz","Cottontail","09-Aug-2015",16656,0.1963,0.072,0.1644,0.1315,0.4981,0.5049,0.1243,0.0329,-0.00680000000000003,3,0,0
"Fizz","Super Galaxy","25-May-2016",16946,0.4043,0.1046,0.1661,0.1593,0.4999,0.5205,0.2997,0.0068,-0.0206,6,1,1
"Fizz","Omega Squad","26-Jul-2017",17373,0.2342,0.4436,0.0684,0.0718,0.5059,0.502,-0.2094,-0.0034,0.00390000000000001,11,0,0
"Fizz","Fuzz","27-Mar-2019",17982,0.0686,0.0614,0.0607,0.0559,0.5142,0.5138,0.00719999999999999,0.0048,0.000399999999999956,17,0,0
"Galio","Debonair","13-Apr-2015",16538,0.0059,0.0052,0.0116,0.0109,0.5126,0.5066,7e-04,0.000699999999999999,0.00599999999999989,2,1,1
"Galio","Birdio","29-Mar-2018",17619,0.0184,0.0582,0.0402,0.1018,0.4628,0.4955,-0.0398,-0.0616,-0.0327,13,1,1
"Galio","Infernal","05-Sep-2019",18144,0.0076,0.0017,0.0373,0.0098,0.506,0.4502,0.0059,0.0275,0.0558,19,1,3
"Gangplank","Captain","09-Aug-2015",16656,0.0977,0.0046,0.095,0.0373,0.5117,0.477,0.0931,0.0577,0.0347000000000001,3,2,2
"Gangplank","Dreadnova","12-Jan-2017",17178,0.0179,0.0076,0.1425,0.0808,0.494,0.4977,0.0103,0.0617,-0.00369999999999998,9,0,1
"Gangplank","Pool Party","02-Aug-2018",17745,0.0491,0.0441,0.0931,0.0678,0.4899,0.492,0.005,0.0253,-0.00209999999999999,15,0,0
"Garen","Rogue Admiral","22-Jul-2015",16638,0.0078,0.0069,0.0342,0.0327,0.48,0.483,9e-04,0.0015,-0.003,3,0,0
"Garen","God-King","27-Jun-2018",17709,0.0341,0.0148,0.0861,0.0372,0.5141,0.4967,0.0193,0.0489,0.0174,14,0,1
"Garen","Demacia Vice","18-Jul-2019",18095,0.0264,0.019,0.0671,0.0504,0.5138,0.5134,0.0074,0.0167,0.000400000000000067,19,0,0
"Garen","Mecha Kingdoms","15-Jan-2020",18276,0.0194,0.1165,0.0541,0.0797,0.4869,0.5067,-0.0971,-0.0256,-0.0198,21,1,3
"Garen","Warring Kingdoms","19-Jan-2017",17185,0.007,0.0073,0.0289,0.0276,0.5025,0.4709,-3e-04,0.0013,0.0316,9,1,1
"Gnar","Gentleman","14-Jul-2015",16630,0.0202,0.0179,0.1111,0.1233,0.4801,0.4815,0.0023,-0.0122,-0.00139999999999996,3,0,0
"Gnar","El León","01-Jun-2016",16953,0.0018,0.0014,0.0461,0.0375,0.4839,0.488,4e-04,0.0086,-0.00409999999999999,6,0,0
"Gnar","Super Galaxy","16-Oct-2017",17455,0.0366,0.0309,0.088,0.0774,0.4842,0.4887,0.0057,0.0106,-0.0045,12,0,1
"Gnar","Snow Day","10-Dec-2015",16779,0.0043,0.0072,0.0736,0.0906,0.4919,0.4907,-0.0029,-0.017,0.00119999999999998,4,1,1
"Gnar","SSG","20-Jul-2018",17732,0.0088,0.0089,0.0516,0.0278,0.4696,0.47,-9.99999999999994e-05,0.0238,-0.000399999999999956,15,0,0
"Gragas","Gragas Caskbreaker","07-Dec-2015",16776,0.0023,0.0064,0.0397,0.0773,0.4631,0.4799,-0.0041,-0.0376,-0.0168,4,0,0
"Gragas","Arctic Ops","25-Jan-2018",17556,0.0015,0.0035,0.0343,0.0357,0.4573,0.446,-0.002,-0.00140000000000001,0.0113,13,0,0
"Graves","Cutthroat","21-Jul-2015",16637,0.0025,0.0037,0.1858,0.1727,0.492,0.4899,-0.0012,0.0131,0.00209999999999999,3,0,0
"Graves","Praetorian","08-Nov-2018",17843,0.1157,0.3506,0.1455,0.2092,0.5029,0.5086,-0.2349,-0.0637,-0.00570000000000004,16,0,1
"Graves","Battle Professor","15-May-2019",18031,0.0067,0.0093,0.0502,0.0435,0.4888,0.496,-0.0026,0.0067,-0.00719999999999998,18,1,1
"Graves","Snow Day","14-Dec-2016",17149,0.0148,0.0704,0.1052,0.1103,0.4996,0.5027,-0.0556,-0.00509999999999999,-0.00310000000000005,8,1,2
"Graves","Victorious","08-Nov-2017",17478,0.01,0.0025,0.0736,0.0284,0.4597,0.4541,0.0075,0.0452,0.00559999999999999,12,1,3
"Hecarim","Elderwood","25-Nov-2015",16764,0.0055,0.0035,0.0587,0.0567,0.4991,0.5196,0.002,0.002,-0.0205,4,2,2
"Hecarim","Worldbreaker","10-Nov-2016",17115,0.2474,0.1973,0.1267,0.0823,0.5347,0.5306,0.0501,0.0444,0.00409999999999999,8,0,1
"Hecarim","High Noon","10-Oct-2019",18179,0.0373,0.0686,0.0674,0.0694,0.5106,0.5132,-0.0313,-0.002,-0.00259999999999994,20,0,0
"Hecarim","Lancer Zero","16-Aug-2017",17394,0.0066,0.0083,0.0334,0.0333,0.4877,0.5056,-0.0017,9.99999999999959e-05,-0.0179,11,0,0
"Heimerdinger","Dragon Trainer","11-Oct-2018",17815,0.0103,0.0072,0.0343,0.0232,0.5206,0.5276,0.0031,0.0111,-0.00700000000000001,16,0,0
"Illaoi","Resistance","15-Mar-2018",17605,0.0533,0.0951,0.039,0.0445,0.5057,0.4992,-0.0418,-0.0055,0.00650000000000006,13,0,1
"Irelia","Order of the Lotus","03-Jun-2015",16589,0.1096,0.1269,0.1448,0.1161,0.5199,0.5182,-0.0173,0.0287,0.00170000000000003,2,0,0
"Irelia","Divine Sword","04-Sep-2018",17778,0.4217,0.1657,0.1884,0.0904,0.5017,0.4689,0.256,0.098,0.0328000000000001,15,1,2
"Irelia","PROJECT","01-Aug-2019",18109,0.1048,0.1441,0.1257,0.137,0.4567,0.4579,-0.0393,-0.0113,-0.00119999999999998,19,1,2
"Irelia","iG","23-Apr-2019",18009,0.2071,0.1575,0.1632,0.1524,0.4738,0.4747,0.0496,0.0108,-0.000900000000000012,18,0,0
"Ivern","Dunkmaster","04-Apr-2019",17990,0.0035,0.0166,0.0165,0.0322,0.5103,0.513,-0.0131,-0.0157,-0.00270000000000004,18,1,1
"Janna","Star Guardian","05-Oct-2016",17079,0.0171,0.0109,0.1953,0.1667,0.5465,0.5391,0.0062,0.0286,0.00739999999999996,8,0,0
"Janna","Sacred Sword","27-Sep-2017",17436,0.4896,0.5382,0.238,0.2536,0.5375,0.5639,-0.0486,-0.0156,-0.0264,11,1,1
