"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate","Quartal","AnzahlInNachfolgendenPatchen","AnzahlInVorherigenPatchen"
"Janna","Guardian of the Sands","22-Jan-2020",18283,0.0039,0.0047,0.071,0.0618,0.5183,0.5317,-8e-04,0.00919999999999999,-0.0134,21,0,0
"Janna","Bewitching","24-Oct-2018",17828,0.008,0.0097,0.09,0.0809,0.5139,0.4986,-0.0017,0.0091,0.0153,16,0,1
"JarvanIV","Dark Star","01-Mar-2018",17591,0.055,0.0994,0.1381,0.1976,0.4866,0.4981,-0.0444,-0.0595,-0.0115,13,1,2
"JarvanIV","SSG","20-Jul-2018",17732,0.0113,0.0157,0.0747,0.071,0.491,0.4764,-0.0044,0.00370000000000001,0.0146,15,2,2
"JarvanIV","Hextech","04-Apr-2019",17990,0.1263,0.0362,0.2182,0.1631,0.5153,0.5171,0.0901,0.0551,-0.00180000000000002,18,1,1
"Jax","Warden","30-Sep-2015",16708,0.0035,0.0076,0.053,0.0578,0.5051,0.4934,-0.0041,-0.0048,0.0117,3,0,1
"Jax","God Staff","11-Jan-2018",17542,0.0406,0.0349,0.1144,0.0959,0.493,0.4971,0.0057,0.0185,-0.00409999999999999,13,0,0
"Jax","Mecha Kingdoms","15-Jan-2020",18276,0.0652,0.0886,0.0907,0.0822,0.4948,0.5066,-0.0234,0.00850000000000001,-0.0118,21,1,1
"Jayce","Forsaken","03-May-2015",16558,0.0012,0.0012,0.0395,0.0302,0.4762,0.4733,0,0.0093,0.00290000000000001,2,0,0
"Jayce","Jayce Brighthammer","17-Nov-2016",17122,0.1301,0.1459,0.119,0.1508,0.5225,0.5287,-0.0158,-0.0318,-0.00619999999999998,8,1,1
"Jayce","Battle Academia","15-May-2019",18031,0.0467,0.0623,0.0768,0.068,0.4787,0.4891,-0.0156,0.00879999999999999,-0.0104,18,0,1
"Jhin","Blood Moon","09-Feb-2017",17206,0.0533,0.0123,0.4174,0.2629,0.5103,0.5118,0.041,0.1545,-0.00150000000000006,9,0,1
"Jhin","PROJECT","22-Nov-2017",17492,0.0206,0.0026,0.2606,0.0796,0.4847,0.4861,0.018,0.181,-0.00139999999999996,12,1,1
"Jhin","Dark Cosmic","13-Jun-2019",18060,0.0114,0.0091,0.1248,0.1194,0.5018,0.4926,0.0023,0.00539999999999999,0.00920000000000004,18,1,1
"Jhin","SKT T1","27-Jun-2017",17344,0.0226,0.0012,0.2748,0.0726,0.506,0.4821,0.0214,0.2022,0.0239,10,1,2
"Jinx","Firecracker","10-Feb-2015",16476,0.0056,0.0036,0.2503,0.1824,0.5316,0.5387,0.002,0.0679,-0.0071,1,NA,NA
"Jinx","Star Guardian","05-Oct-2016",17079,0.0135,0.0058,0.2327,0.1808,0.5245,0.5319,0.0077,0.0519,-0.00740000000000007,8,1,2
"Jinx","Odyssey","12-Sep-2018",17786,0.0047,0.0063,0.1238,0.1325,0.5145,0.5244,-0.0016,-0.00870000000000001,-0.00990000000000002,15,0,0
"Jinx","PROJECT","01-Aug-2019",18109,0.0257,0.0161,0.1975,0.1597,0.5366,0.5324,0.0096,0.0378,0.00419999999999998,19,0,0
"Jinx","Zombie Slayer","05-Nov-2015",16744,0.0044,0.0033,0.1911,0.2462,0.5012,0.5175,0.0011,-0.0551,-0.0163,4,0,0
"Jinx","Ambitious Elf","12-Dec-2017",17512,0.0015,0.003,0.0693,0.0893,0.4898,0.5069,-0.0015,-0.02,-0.0171,12,1,2
"Jinx","Heartseeker","04-Feb-2020",18296,0.0026,0.0053,0.0936,0.0989,0.5113,0.5108,-0.0027,-0.0053,0.000499999999999945,21,1,1
"Kaisa","KDA","03-Nov-2018",17838,0.1883,0.2296,0.323,0.3057,0.4878,0.4999,-0.0413,0.0173,-0.0121,16,1,2
"Kaisa","Arcade","28-Jun-2019",18075,0.0727,0.1186,0.2702,0.336,0.4946,0.4923,-0.0459,-0.0658,0.00229999999999997,18,0,0
"Kaisa","iG","23-Apr-2019",18009,0.0975,0.0469,0.3174,0.2306,0.4919,0.4858,0.0506,0.0868,0.00609999999999999,18,0,0
"Kalista","Championship","27-Sep-2015",16705,0.0237,0.0549,0.1536,0.1073,0.4968,0.5061,-0.0312,0.0463,-0.00929999999999997,3,1,1
"Kalista","SKT T1","17-Aug-2016",17030,4e-04,6e-04,0.0174,0.0216,0.4536,0.4754,-2e-04,-0.0042,-0.0218,7,0,0
"Karma","Warden","30-Sep-2015",16708,3e-04,4e-04,0.0251,0.0259,0.5049,0.499,-1e-04,-0.000799999999999999,0.00590000000000002,3,0,1
"Karma","Dark Star","13-Jun-2019",18060,0.0781,0.0052,0.1779,0.0758,0.5067,0.4881,0.0729,0.1021,0.0186000000000001,18,1,1
"Karma","Winter Wonder","14-Dec-2016",17149,0.0061,0.0137,0.1845,0.1808,0.4947,0.5009,-0.0076,0.00370000000000001,-0.00620000000000004,8,1,1
"Karma","Conqueror","23-Apr-2017",17279,0.0134,0.004,0.2093,0.1502,0.5306,0.4928,0.0094,0.0591,0.0377999999999999,10,1,1
"Karma","Dawnbringer","12-Dec-2019",18242,0.0036,0.0045,0.0571,0.0483,0.4859,0.4806,-9e-04,0.0088,0.00529999999999997,20,1,1
"Karthus","Karthus Lightsbane","17-Nov-2016",17122,0.0012,0.0011,0.0214,0.0226,0.5576,0.6083,9.99999999999998e-05,-0.0012,-0.0507,8,0,0
"Kassadin","Cosmic Reaver","14-Oct-2015",16722,0.0069,7e-04,0.0812,0.0206,0.4703,0.4646,0.0062,0.0606,0.00569999999999998,4,0,0
"Kassadin","Count","24-Oct-2019",18193,0.0555,0.0734,0.0437,0.0647,0.5044,0.5061,-0.0179,-0.021,-0.00170000000000003,20,0,0
"Katarina","Warring Kingdoms","10-Feb-2015",16476,0.5293,0.5224,0.1235,0.1236,0.5428,0.5311,0.00690000000000002,-0.000100000000000003,0.0116999999999999,1,NA,NA
"Katarina","PROJECT","01-Aug-2016",17014,0.015,0.0037,0.0914,0.0506,0.5108,0.5136,0.0113,0.0408,-0.00279999999999991,7,0,0
"Katarina","Battle Academia","15-May-2019",18031,0.0578,0.0521,0.0711,0.0649,0.5127,0.5221,0.0057,0.0062,-0.00939999999999996,18,0,0
"Katarina","Blood Moon","20-Feb-2020",18312,0.0978,0.0861,0.086,0.0803,0.5234,0.5087,0.0117,0.0057,0.0146999999999999,21,1,2
"Katarina","Death Sworn","25-Oct-2017",17464,0.225,0.1775,0.0839,0.0729,0.5216,0.5146,0.0475,0.011,0.00700000000000001,12,0,0
"Kayle","Iron Inquisitor","04-May-2016",16925,0.0075,0.0107,0.0482,0.0571,0.5303,0.5455,-0.0032,-0.0089,-0.0152,6,0,1
"Kayle","Pentakill","08-Aug-2017",17386,0.0118,0.0185,0.0385,0.0437,0.5188,0.5405,-0.0067,-0.0052,-0.0216999999999999,11,0,0
"Kayn","Odyssey","12-Sep-2018",17786,0.0912,0.0324,0.1251,0.0798,0.4951,0.4968,0.0588,0.0453,-0.00170000000000003,15,1,1
"Kennen","Blood Moon","25-Feb-2016",16856,7e-04,9e-04,0.0285,0.0288,0.4994,0.5131,-2e-04,-0.000299999999999998,-0.0137,5,0,0
"Kennen","Super","29-Mar-2017",17254,0.0084,0.0052,0.0598,0.0383,0.5089,0.5085,0.0032,0.0215,0.000400000000000067,9,0,2
"Khazix","Death Blossom","17-Mar-2016",16877,0.0233,6e-04,0.0963,0.0472,0.4935,0.4867,0.0227,0.0491,0.00679999999999997,5,0,1
"Khazix","Dark Star","03-May-2017",17289,0.0239,0.0955,0.1439,0.1302,0.5087,0.5056,-0.0716,0.0137,0.00309999999999999,10,1,1
"Khazix","Championship","27-Sep-2018",17801,0.1394,0.0468,0.1317,0.0865,0.5127,0.4974,0.0926,0.0452,0.0153,15,1,1
"Kindred","Super Galaxy","25-May-2016",16946,0.5105,0.4505,0.1135,0.1252,0.5386,0.5436,0.0599999999999999,-0.0117,-0.005,6,1,2
"Kled","Count Kledula","24-Oct-2018",17828,0.0099,0.0158,0.0346,0.0377,0.5231,0.5214,-0.0059,-0.0031,0.00170000000000003,16,0,0
"KogMaw","Pug'Maw","29-Mar-2017",17254,0.0368,0.0021,0.0827,0.0261,0.5348,0.5698,0.0347,0.0566,-0.0349999999999999,9,0,0
"KogMaw","Hextech","07-Dec-2017",17507,0.0089,0.1351,0.042,0.1223,0.5123,0.5123,-0.1262,-0.0803,0,12,1,2
"Leblanc","Elderwood","10-Mar-2016",16870,0.0831,0.0492,0.1406,0.1309,0.4772,0.473,0.0339,0.00970000000000001,0.00420000000000004,5,0,0
"Leblanc","Program","15-Nov-2018",17850,0.3032,0.2395,0.1017,0.1059,0.4948,0.508,0.0637,-0.0042,-0.0132,16,1,2
"Leblanc","iG","23-Apr-2019",18009,0.1255,0.1564,0.0674,0.0856,0.4668,0.4729,-0.0309,-0.0182,-0.00609999999999999,18,0,1
"LeeSin","Knockout","31-May-2015",16586,0.0319,0.0626,0.2675,0.2721,0.4735,0.4665,-0.0307,-0.00459999999999999,0.00699999999999995,2,0,0
"LeeSin","God Fist","05-Apr-2017",17261,0.2113,0.1255,0.4337,0.3519,0.5159,0.4932,0.0858,0.0818,0.0227,10,0,0
"LeeSin","Nightbringer","12-Dec-2019",18242,0.2651,0.2296,0.3203,0.3079,0.4883,0.4846,0.0355,0.0124,0.00370000000000004,20,0,0
"LeeSin","Playmaker","14-Jun-2018",17696,0.0833,0.0456,0.2111,0.1622,0.4974,0.4806,0.0377,0.0489,0.0168,14,2,2
"Leona","PROJECT","07-Sep-2015",16685,0.0067,0.0156,0.1444,0.1252,0.5047,0.5076,-0.0089,0.0192,-0.00290000000000001,3,1,1
"Leona","Barbecue","07-Sep-2016",17051,0.0043,0.01,0.0859,0.109,0.5089,0.5055,-0.0057,-0.0231,0.00340000000000007,7,2,3
"Leona","Solar Eclipse","27-Nov-2018",17862,0.0492,0.0403,0.0903,0.0856,0.4985,0.5092,0.0089,0.00470000000000001,-0.0107,16,0,0
"Leona","Mecha Kingdoms","15-Jan-2020",18276,0.3665,0.1871,0.1629,0.1188,0.5113,0.5182,0.1794,0.0441,-0.00690000000000002,21,0,0
"Lissandra","Program","06-Apr-2016",16897,0.0092,0.0443,0.0908,0.0865,0.4797,0.4793,-0.0351,0.00430000000000001,0.000400000000000011,6,0,0
"Lissandra","Coven","27-Nov-2018",17862,0.0763,0.0264,0.0835,0.0827,0.513,0.5101,0.0499,0.000800000000000009,0.00290000000000001,16,1,1
"Lucian","PROJECT","07-Sep-2015",16685,0.001,8e-04,0.1952,0.1146,0.4702,0.4647,2e-04,0.0806,0.0055,3,1,1
"Lucian","High Noon","30-Aug-2018",17773,0.063,0.062,0.2373,0.2062,0.504,0.5011,0.001,0.0311,0.00290000000000001,15,0,0
"Lucian","Demacia Vice","18-Jul-2019",18095,0.0211,0.0237,0.1681,0.1257,0.478,0.476,-0.0026,0.0424,0.002,19,2,2
"Lucian","Heartseeker","02-Feb-2017",17199,0.001,9e-04,0.1141,0.0976,0.4851,0.4529,1e-04,0.0165,0.0322,9,2,2
"Lulu","Pool Party","25-Jun-2015",16611,0.0015,0.0026,0.0746,0.0898,0.5131,0.5006,-0.0011,-0.0152,0.0125,2,0,1
"Lulu","Star Guardian","05-Oct-2016",17079,0.0013,0.0023,0.0715,0.0738,0.5249,0.4939,-0.001,-0.00230000000000001,0.031,8,0,1
"Lulu","Cosmic Enchantress","21-Aug-2018",17764,0.0821,0.0849,0.131,0.1138,0.4812,0.4866,-0.0028,0.0172,-0.00539999999999996,15,0,0
"Lulu","Pajama Guardian","21-Nov-2018",17856,0.0515,0.0713,0.099,0.1217,0.4893,0.4851,-0.0198,-0.0227,0.00420000000000004,16,1,1
"Lux","Star Guardian","17-May-2015",16572,0.0011,7e-04,0.0829,0.0563,0.496,0.4914,4e-04,0.0266,0.00459999999999999,2,0,1
"Lux","Elementalist","28-Nov-2016",17133,0.0063,0.0026,0.1332,0.0939,0.4995,0.5183,0.0037,0.0393,-0.0188,8,1,1
"Lux","Pajama Guardian","21-Nov-2018",17856,0.0082,0.0052,0.1163,0.0897,0.5111,0.5007,0.003,0.0266,0.0104,16,0,0
"Lux","Battle Academia","15-May-2019",18031,0.0444,0.0119,0.2226,0.132,0.5291,0.516,0.0325,0.0906,0.0131,18,0,0
"Lux","Dark Cosmic","26-Mar-2020",18347,0.0088,0.0041,0.1075,0.0748,0.4933,0.4867,0.0047,0.0327,0.00659999999999999,21,NA,NA
"Lux","Lunar Empress","08-Feb-2018",17570,0.0026,0.0031,0.0582,0.0664,0.4822,0.4993,-5e-04,-0.0082,-0.0171,13,2,3
"Malphite","Ironside","07-Oct-2015",16715,0.0142,0.0089,0.1248,0.1068,0.5238,0.5176,0.0053,0.018,0.00620000000000009,4,0,0
"Malphite","Odyssey","12-Sep-2018",17786,0.0268,0.0276,0.0716,0.0686,0.5004,0.502,-0.000799999999999999,0.003,-0.00160000000000005,15,0,0
"Malphite","Dark Star","26-Mar-2020",18347,0.0252,0.0181,0.0688,0.055,0.5021,0.5046,0.0071,0.0138,-0.00250000000000006,21,NA,NA
"Malzahar","Battle Boss","08-Aug-2017",17386,0.1057,0.0582,0.0813,0.0636,0.5343,0.5493,0.0475,0.0177,-0.015,11,1,2
"Malzahar","Hextech","18-Oct-2018",17822,0.0437,0.0357,0.0585,0.0546,0.5124,0.5116,0.008,0.0039,0.000799999999999912,16,0,0
"Maokai","Meowkai","31-Mar-2016",16891,0.0738,3e-04,0.1264,0.022,0.5074,0.4976,0.0735,0.1044,0.00979999999999998,5,1,1
"Maokai","Victorious","08-Nov-2016",17113,0.0164,0.0013,0.0967,0.0307,0.5152,0.5277,0.0151,0.066,-0.0125,8,0,0
"MasterYi","PROJECT Yi","07-Sep-2015",16685,0.0438,0.1411,0.1339,0.0887,0.4911,0.48,-0.0973,0.0452,0.0111,3,1,1
"MasterYi","Cosmic Blade","26-Apr-2017",17282,0.0714,0.0211,0.1278,0.0881,0.5273,0.5238,0.0503,0.0397,0.00349999999999995,10,1,2
"MasterYi","Eternal Sword Yi","27-Sep-2017",17436,0.0504,0.1153,0.0607,0.0833,0.475,0.4903,-0.0649,-0.0226,-0.0153,11,0,0
"MasterYi","Blood Moon","20-Feb-2020",18312,0.2304,0.0989,0.0804,0.0489,0.5053,0.5137,0.1315,0.0315,-0.00840000000000007,21,1,1
"MasterYi","Snow Man Yi","06-Dec-2018",17871,0.1558,0.108,0.1102,0.0835,0.5077,0.4942,0.0478,0.0267,0.0135000000000001,16,1,1
"MissFortune","Captain Fortune","30-Jul-2015",16646,0.0013,0.001,0.0329,0.0166,0.4977,0.5271,3e-04,0.0163,-0.0294,3,1,1
"MissFortune","Pool Party","13-Jul-2016",16995,9e-04,0.0025,0.0596,0.0722,0.5225,0.534,-0.0016,-0.0126,-0.0115000000000001,7,1,1
"MissFortune","Star Guardian","06-Sep-2017",17415,0.0036,0.0124,0.0615,0.079,0.5123,0.5117,-0.0088,-0.0175,0.000599999999999934,11,0,0
"MissFortune","Gun Goddess","22-Mar-2018",17612,0.0032,0.005,0.0452,0.0326,0.5116,0.4951,-0.0018,0.0126,0.0165000000000001,13,1,2
"MissFortune","Pajama Guardian","21-Nov-2018",17856,0.0151,0.0253,0.0808,0.0861,0.505,0.52,-0.0102,-0.0053,-0.015,16,0,0
"MissFortune","Bewitching","24-Oct-2019",18193,0.03,0.0038,0.1207,0.0546,0.5254,0.5045,0.0262,0.0661,0.0209,20,0,1
"MonkeyKing","Radiant","27-Jan-2016",16827,0.0014,0.0023,0.0661,0.0504,0.518,0.5382,-9e-04,0.0157,-0.0202,5,0,1
"MonkeyKing","Lancer Stratus","04-Apr-2018",17625,0.0073,0.0042,0.0425,0.0279,0.5164,0.5083,0.0031,0.0146,0.0081,14,2,2
"Mordekaiser","King of Clubs","20-May-2015",16575,0.0015,0.0013,0.0184,0.012,0.5287,0.5147,2e-04,0.0064,0.0139999999999999,2,1,1
"Mordekaiser","Dark Star","26-Mar-2020",18347,0.1796,0.1973,0.115,0.1202,0.4937,0.4922,-0.0177,-0.0052,0.0015,21,NA,NA
"Morgana","Majestic Empress","26-Sep-2019",18165,0.507,0.455,0.1275,0.1227,0.5016,0.5033,0.052,0.0048,-0.00169999999999992,19,0,0
"Morgana","Lunar Wraith","27-Jan-2016",16827,0.0383,0.0144,0.1585,0.1369,0.5105,0.5184,0.0239,0.0216,-0.00790000000000002,5,0,1
"Morgana","Bewitching","19-Oct-2016",17093,0.0323,0.0378,0.1388,0.1422,0.5226,0.509,-0.0055,-0.00339999999999999,0.0135999999999999,8,0,0
"Nami","Urf the Nami-tee","31-Mar-2015",16525,6e-04,7e-04,0.0884,0.0873,0.5106,0.4974,-1e-04,0.0011,0.0132,1,0,0
"Nami","Deep Sea","29-Jun-2016",16981,0.0011,6e-04,0.133,0.0947,0.5148,0.5128,5e-04,0.0383,0.002,6,0,0
"Nami","Program","15-Nov-2018",17850,0.0142,0.0329,0.1122,0.1622,0.5141,0.5209,-0.0187,-0.05,-0.00680000000000003,16,0,1
"Nami","Splendid Staff","26-Sep-2019",18165,0.0085,0.0108,0.1005,0.1035,0.523,0.5297,-0.0023,-0.00299999999999999,-0.00669999999999993,19,0,0
"Nami","SKT T1","27-Jun-2017",17344,0.0022,0.0012,0.099,0.121,0.4979,0.5005,0.001,-0.022,-0.00259999999999994,10,0,1
"Nasus","Archduke","31-Mar-2015",16525,0.0362,0.0163,0.1031,0.0821,0.5156,0.5151,0.0199,0.021,0.000499999999999945,1,0,0
"Nasus","Worldbreaker","10-Nov-2016",17115,0.0168,0.0021,0.0865,0.0313,0.5195,0.5004,0.0147,0.0552,0.0191,8,1,1
"Nasus","Lunar Guardian","08-Feb-2018",17570,0.1074,0.0483,0.0712,0.0783,0.486,0.519,0.0591,-0.0071,-0.033,13,1,1
"Nautilus","Warden","17-Feb-2015",16483,8e-04,0.0014,0.0223,0.023,0.4785,0.4825,-6e-04,-0.000699999999999999,-0.004,1,NA,NA
"Nautilus","Worldbreaker","10-Nov-2016",17115,0.0121,0.0029,0.0993,0.0598,0.516,0.5328,0.0092,0.0395,-0.0168,8,0,0
"Neeko","Star Guardian","12-Sep-2019",18151,0.0135,0.0252,0.0514,0.0523,0.4931,0.4992,-0.0117,-0.000899999999999998,-0.00609999999999999,19,1,1
"Nidalee","Warring Kingdoms","10-Feb-2015",16476,0.3705,0.0204,0.218,0.1209,0.5147,0.4838,0.3501,0.0971,0.0309,1,NA,NA
"Nidalee","Super Galaxy","16-Oct-2017",17455,0.0225,0.0088,0.0615,0.0418,0.4996,0.4908,0.0137,0.0197,0.00879999999999997,12,0,2
"Nidalee","Dawnbringer","12-Dec-2019",18242,0.0137,0.0226,0.0589,0.0539,0.4709,0.495,-0.0089,0.005,-0.0241,20,0,1
"Nidalee","Challenger","14-Jan-2016",16814,0.1616,0.0158,0.1274,0.0859,0.5127,0.4685,0.1458,0.0415,0.0442,5,1,1
"Nocturne","Cursed Revenant","04-May-2016",16925,0.0029,0.0028,0.0471,0.0443,0.5138,0.4979,9.99999999999998e-05,0.0028,0.0159,6,0,1
"Nocturne","Elderwood","29-Aug-2019",18137,0.0206,0.0081,0.0512,0.0265,0.5171,0.4923,0.0125,0.0247,0.0248,19,1,1
"Nunu","Papercraft","21-Feb-2019",17948,0.0374,0.0035,0.0521,0.0204,0.5308,0.5089,0.0339,0.0317,0.0219,17,1,1
"Nunu","Zombie","05-Nov-2015",16744,0.001,8e-04,0.0264,0.0181,0.4836,0.481,2e-04,0.0083,0.00259999999999999,4,0,0
"Olaf","Marauder","30-Sep-2015",16708,0.0123,0.0094,0.0676,0.0527,0.4892,0.4786,0.0029,0.0149,0.0106,3,0,1
"Olaf","Butcher","07-Sep-2016",17051,0.0129,0.0128,0.0459,0.0552,0.5241,0.5105,9.99999999999994e-05,-0.0093,0.0136000000000001,7,0,0
"Olaf","Dragonslayer","30-Jan-2020",18291,0.1271,0.1859,0.0754,0.0878,0.5133,0.5085,-0.0588,-0.0124,0.00480000000000003,21,0,0
"Olaf","SKT T1","27-Jun-2017",17344,0.0062,0.0019,0.04,0.0366,0.5083,0.5032,0.0043,0.0034,0.00509999999999999,10,0,1
"Orianna","Dark Star","03-May-2017",17289,0.0174,0.015,0.1756,0.1649,0.5063,0.5012,0.0024,0.0107,0.00509999999999999,10,1,2
"Orianna","Heartseeker","11-Feb-2016",16842,3e-04,9e-04,0.0651,0.061,0.4613,0.4701,-6e-04,0.00410000000000001,-0.00880000000000003,5,0,1
"Orianna","Victorious","21-Nov-2018",17856,0.0051,0.0053,0.0753,0.0664,0.4923,0.4922,-2e-04,0.00890000000000001,9.9999999999989e-05,16,0,0
"Pantheon","Baker","07-Sep-2016",17051,0.0308,0.0158,0.0711,0.064,0.5354,0.533,0.015,0.0071,0.00239999999999996,7,0,0
"Pantheon","Zombie Slayer","05-Nov-2015",16744,0.0028,0.0029,0.0523,0.0617,0.5058,0.5208,-9.99999999999998e-05,-0.0094,-0.015,4,0,0
"Poppy","Star Guardian","05-Oct-2016",17079,0.0184,0.0016,0.1091,0.0319,0.513,0.512,0.0168,0.0772,0.001,8,0,1
"Poppy","Snow Fawn","12-Dec-2017",17512,0.0023,0.0016,0.0284,0.0178,0.5009,0.4983,7e-04,0.0106,0.00259999999999999,12,0,1
"Poppy","Hextech","23-Jul-2018",17735,0.0095,0.0047,0.0547,0.0369,0.5072,0.5101,0.0048,0.0178,-0.00290000000000001,15,1,2
"Pyke","Blood Moon","10-Jan-2019",17906,0.2702,0.3186,0.1303,0.1706,0.4853,0.4959,-0.0484,-0.0403,-0.0106,17,1,1
"Pyke","PROJECT","01-Aug-2019",18109,0.3828,0.1868,0.165,0.1348,0.509,0.4905,0.196,0.0302,0.0185,19,1,2
"Qiyana","True Damage","10-Nov-2019",18210,0.1277,0.115,0.1056,0.0566,0.4492,0.4602,0.0127,0.049,-0.011,20,1,2
"Quinn","Corsair","22-Jul-2015",16638,4e-04,4e-04,0.0179,0.0168,0.4974,0.5149,0,0.0011,-0.0175,3,0,0
"Quinn","Heartseeker","02-Feb-2017",17199,0.0639,0.0019,0.0818,0.0274,0.5615,0.5624,0.062,0.0544,-0.000900000000000012,9,1,1
"Rakan","Star Guardian","12-Sep-2019",18151,0.0195,0.0074,0.1014,0.0676,0.5009,0.5164,0.0121,0.0338,-0.0155,19,0,0
"Rakan","Sweetheart","12-Feb-2018",17574,0.0394,0.0147,0.1185,0.0742,0.4971,0.4943,0.0247,0.0443,0.00279999999999997,13,1,1
"Rakan","SSG","20-Jul-2018",17732,0.0827,0.0687,0.1593,0.1265,0.5115,0.5145,0.014,0.0328,-0.003,15,1,2
"Rakan","iG","23-Apr-2019",18009,0.0042,0.0036,0.0473,0.0481,0.5016,0.4762,6e-04,-0.000799999999999995,0.0254,18,0,1
"Rammus","Guardian of the Sands","26-Apr-2015",16551,0.0017,0.0017,0.0285,0.0277,0.5013,0.5078,0,0.000800000000000002,-0.00650000000000006,2,1,1
"Rammus","Sweeper","14-Jun-2018",17696,0.0109,0.0208,0.0213,0.0285,0.4816,0.4971,-0.0099,-0.0072,-0.0155,14,0,1
"Rammus","Hextech","15-Aug-2019",18123,0.0707,0.0959,0.0321,0.0355,0.4952,0.5013,-0.0252,-0.0034,-0.00609999999999999,19,0,2
"RekSai","Pool Party","25-Jun-2015",16611,0.1107,0.1195,0.0957,0.1411,0.5024,0.5141,-0.00879999999999999,-0.0454,-0.0117,2,0,1
